Plot_ID,Tree_species,Species_code,Species,Origin,Site_index,Stand_age,Height,DBH,Tree_density,Growing_stock,AGB,Temp_annual,Precip_annual,CEC_Soil
6,Pinus sylvestris,pisy,pine,Natural,6,35,14.3,12.8,2250,211,98.39999999999999,-0.15833330154418945,465,35
8,Pinus sylvestris,pisy,pine,Planted,7,12,3.4,3.2,2350,5.2,10.3,-0.15833330154418945,465,35
9,Pinus sylvestris,pisy,pine,Planted,8,14,4,3.8,2290,7.1,12.9,-0.15833330154418945,465,35
14,Pinus sylvestris,pisy,pine,Natural,9,37,6.5,5.9,8700,80,61.58,1.6958333998918533,323,25
23,Betula spp,besp,birch,Natural,8,40,12,13,1356,102,68.2,0.7875000834465027,700,41
24,Populus tremula,potr,aspen,Natural,8,30,9,10,2331,96,52.4,0.7875000834465027,700,41
111,Betula spp,besp,birch,Natural,9,60,13.5,13.8,1283,165.7,111.83999999999999,0.7875000834465027,700,41
126,Pinus sylvestris,pisy,pine,Natural,9,60,12,11.5,2825,177.5,124.235,1.5874999562899272,371,47
127,Pinus sylvestris,pisy,pine,Natural,8,40,11,10.2,2940,139.4,110.176,1.5874999562899272,371,47
131,Pinus sylvestris,pisy,pine,Natural,10,98,15,22,392,115,65.39999999999999,-6.695833231012027,554,57
132,Pinus sylvestris,pisy,pine,Natural,10,119,14,19,589,125,67.3,-6.695833231012027,554,57
133,Pinus sylvestris,pisy,pine,Natural,10,136,16,23,508,171,94.3,-6.695833231012027,554,57
134,Pinus sylvestris,pisy,pine,Natural,9,176,19,27,377,186,103.3,-6.695833231012027,554,57
135,Pinus sylvestris,pisy,pine,Natural,10,183,17,23,568,195,103.60000000000001,-6.695833231012027,554,57
136,Pinus sylvestris,pisy,pine,Natural,9,40,9,7,7925,144,73.5,-4.891666576266289,615,41
137,Pinus sylvestris,pisy,pine,Natural,8,70,18,15,1845,274,136.6,-4.891666576266289,615,41
140,Pinus sylvestris,pisy,pine,Natural,10,157,17,21,2323,266.7,130.7,-4.891666576266289,615,41
146,Pinus sylvestris,pisy,pine,Natural,8,72,18,27,527,250,133.60000000000002,1.137500034024318,443,26.5
148,Pinus sylvestris,pisy,pine,Natural,9,88,15,18,1289,232,119.89999999999999,1.137500034024318,443,26.5
151,Pinus sylvestris,pisy,pine,Natural,8,50,13,14,1871,185,102,-2.1083333094914756,281,38
152,Pinus sylvestris,pisy,pine,Natural,8,70,17,22,576,219,127.2,-2.1083333094914756,281,38
155,Pinus sylvestris,pisy,pine,Natural,8,130,23,33,359,353,181.8,-2.1083333094914756,281,38
170,Pinus sylvestris,pisy,pine,Natural,11,130,11,14,1024,105,54.800000000000004,-10.22500006792446,235,73
171,Pinus sylvestris,pisy,pine,Natural,10,140,16,23,452,140,77,-10.22500006792446,235,73
172,Pinus sylvestris,pisy,pine,Natural,10,300,18,25,348,142,71.4,-10.22500006792446,235,73
173,Betula spp,besp,birch,Natural,9,47,10.3,5.8,4770,66,47,-10.22500006792446,235,73
175,Pinus sylvestris,pisy,pine,Natural,11,90,10,14,1010,89,47.6,-1.2541667024294536,550,40.5
179,Pinus sylvestris,pisy,pine,Natural,8,93,19,20,879,379,186.3,-0.6916666726271311,523,41.5
183,Pinus sylvestris,pisy,pine,Natural,11,117,13,20,465,107,59.7,-7.587499978020787,293,42.5
184,Pinus sylvestris,pisy,pine,Natural,12,172,7,10,3552,114,64.2,-10.22500006792446,235,73
185,Pinus sylvestris,pisy,pine,Natural,8,30,9,6,8417,115,62.8,0.5125001072883606,531,32
186,Pinus sylvestris,pisy,pine,Natural,8,45,13,10,4253,212,114,0.5125001072883606,531,32
187,Pinus sylvestris,pisy,pine,Natural,8,80,20,17,1802,372,199.49999999999997,0.5125001072883606,531,32
188,Pinus sylvestris,pisy,pine,Natural,8,104,22,20,1391,433,239.6,0.5125001072883606,531,32
189,Pinus sylvestris,pisy,pine,Natural,8,116,24,25,884,463,231.1,0.5125001072883606,531,32
190,Pinus sylvestris,pisy,pine,Natural,8,120,25,27,756,478,236.79999999999998,0.5125001072883606,531,32
191,Pinus sylvestris,pisy,pine,Natural,7,280,30,60,157,578,223.20000000000002,0.5125001072883606,531,32
192,Pinus sylvestris,pisy,pine,Natural,7,22,7.9,6.1,10500,149,69.6,-0.7708333979050318,461,27
195,Pinus sylvestris,pisy,pine,Natural,5,33,15,14.2,2474,317.9,136.57999999999998,-0.7708333979050318,461,27
198,Pinus sylvestris,pisy,pine,Natural,6,22,8.7,7.5,5825,134,113.74999999999999,-0.7708333979050318,461,27
199,Pinus sylvestris,pisy,pine,Natural,6,66,24.5,30.4,505,389,180.4,-0.7708333979050318,461,27
200,Pinus sylvestris,pisy,pine,Natural,6,66,22.7,29.2,487,346,160.7,-0.7708333979050318,461,27
201,Pinus sylvestris,pisy,pine,Natural,8,73,18.8,18.1,2033,441,179.6,-0.7708333979050318,461,27
202,Pinus sylvestris,pisy,pine,Natural,6,66,21.7,22.2,1138,431,182.1,-0.7708333979050318,461,27
203,Pinus sylvestris,pisy,pine,Natural,7,64,20,28,446,238,118.60000000000001,-0.7708333979050318,461,27
204,Pinus sylvestris,pisy,pine,Natural,6,65,21.8,35.6,269,265,130.8,-0.7708333979050318,461,27
205,Pinus sylvestris,pisy,pine,Natural,6,65,21.9,30.4,288,252,111.4,-0.7708333979050318,461,27
206,Pinus sylvestris,pisy,pine,Natural,8,77,19.2,25.1,584,265,124,-0.7708333979050318,461,27
207,Pinus sylvestris,pisy,pine,Natural,8,77,18.9,28.6,347,200,99.7,-0.7708333979050318,461,27
216,Pinus sylvestris,pisy,pine,Natural,8,70,16.8,16,1698,282,139.6,-1.9208331753810246,365,28.5
217,Pinus sylvestris,pisy,pine,Natural,8,75,18.4,18.7,1587,262,122.2,-1.9208331753810246,365,28.5
218,Pinus sylvestris,pisy,pine,Natural,8,150,25,25.1,755,540,275.5,-1.9208331753810246,365,28.5
219,Pinus sylvestris,pisy,pine,Natural,9,95,19,19.4,1706,391,181.8,-1.9208331753810246,365,28.5
220,Pinus sylvestris,pisy,pine,Natural,8,200,24,26.1,1280,563,304.2,-1.9208331753810246,365,28.5
221,Pinus sylvestris,pisy,pine,Natural,8,170,25,26.4,663,536,263.8,-1.9208331753810246,365,28.5
226,Pinus sylvestris,pisy,pine,Natural,7,90,25,30,557,435,233.9,1.137500034024318,443,26.5
227,Pinus sylvestris,pisy,pine,Natural,6,80,26,32,382,351,191.8,1.137500034024318,443,26.5
231,Pinus sylvestris,pisy,pine,Natural,9,50,9,11,3404,156,80.1,2.4458333365619183,358,27.5
232,Pinus sylvestris,pisy,pine,Natural,8,60,14,15,1420,169,84.10000000000001,2.4458333365619183,358,27.5
233,Pinus sylvestris,pisy,pine,Natural,8,70,17,20,839,208,117.5,2.4458333365619183,358,27.5
242,Betula spp,besp,birch,Natural,8,67,17,14,3858,289,190.2,-0.6916666726271311,523,41.5
244,Betula spp,besp,birch,Natural,5,40,18,16,1460,169,114.00000000000001,-4.079166615071396,611,42
245,Betula spp,besp,birch,Natural,10,100,13,12,858,61,43.1,-7.479166678463419,296,35
257,Pinus sylvestris,pisy,pine,Natural,7,20,6.3,3.8,21517,94,44.199999999999996,2.804166691377759,280,31
258,Pinus sylvestris,pisy,pine,Natural,7,30,11.2,6.3,9753,184,81.30000000000001,2.804166691377759,280,31
259,Pinus sylvestris,pisy,pine,Natural,7,40,15.4,10.4,4002,259,112,2.804166691377759,280,31
260,Pinus sylvestris,pisy,pine,Natural,7,50,18.5,14.4,2240,317,136.1,2.804166691377759,280,31
261,Pinus sylvestris,pisy,pine,Natural,7,60,20.7,18.1,1488,362,155.5,2.804166691377759,280,31
262,Pinus sylvestris,pisy,pine,Natural,7,70,22.4,21.2,1122,396,170.5,2.804166691377759,280,31
263,Pinus sylvestris,pisy,pine,Natural,7,80,23.5,23.6,928,421,182.1,2.804166691377759,280,31
264,Pinus sylvestris,pisy,pine,Natural,7,90,24.4,25.5,811,441,191.10000000000002,2.804166691377759,280,31
265,Pinus sylvestris,pisy,pine,Natural,7,100,25,27,734,454,196.2,2.804166691377759,280,31
266,Pinus sylvestris,pisy,pine,Natural,7,110,25.5,28.2,679,464,199.29999999999998,2.804166691377759,280,31
267,Pinus sylvestris,pisy,pine,Natural,7,120,25.8,29,648,471,199.79999999999998,2.804166691377759,280,31
268,Pinus sylvestris,pisy,pine,Natural,7,130,26.2,29.7,622,474,198.2,2.804166691377759,280,31
269,Pinus sylvestris,pisy,pine,Natural,7,140,26.4,30.2,604,476,195.6,2.804166691377759,280,31
271,Pinus sylvestris,pisy,pine,Natural,8,20,5.3,3.1,27027,75,36.6,2.804166691377759,280,31
272,Pinus sylvestris,pisy,pine,Natural,7,30,9.5,4.9,15270,154,70.3,2.804166691377759,280,31
273,Pinus sylvestris,pisy,pine,Natural,7,40,13,7.4,7463,214,95.60000000000001,2.804166691377759,280,31
274,Pinus sylvestris,pisy,pine,Natural,7,50,15.6,10.8,3733,258,113.6,2.804166691377759,280,31
275,Pinus sylvestris,pisy,pine,Natural,7,60,17.5,14.2,2247,291,127.5,2.804166691377759,280,31
276,Pinus sylvestris,pisy,pine,Natural,7,70,18.9,17.2,1575,315,138.1,2.804166691377759,280,31
277,Pinus sylvestris,pisy,pine,Natural,8,80,19.8,19.8,1215,333,146.9,2.804166691377759,280,31
278,Pinus sylvestris,pisy,pine,Natural,8,90,20.6,21.9,1006,346,153.1,2.804166691377759,280,31
279,Pinus sylvestris,pisy,pine,Natural,8,100,21.1,23.5,883,356,157.2,2.804166691377759,280,31
280,Pinus sylvestris,pisy,pine,Natural,8,110,21.5,24.7,806,362,158.6,2.804166691377759,280,31
281,Pinus sylvestris,pisy,pine,Natural,8,120,21.8,25.6,754,367,159,2.804166691377759,280,31
282,Pinus sylvestris,pisy,pine,Natural,8,130,22.1,26.2,723,369,157.4,2.804166691377759,280,31
283,Pinus sylvestris,pisy,pine,Natural,8,140,22.3,26.7,698,370,154.7,2.804166691377759,280,31
285,Pinus sylvestris,pisy,pine,Natural,9,20,3.2,3.5,12994,31,18.7,2.804166691377759,280,31
286,Pinus sylvestris,pisy,pine,Natural,9,30,5.9,6.5,6118,72,37.800000000000004,2.804166691377759,280,31
